Observations	pfg023T	pfg398T	pfg143T	pfg123T	pfg103T	pfg072T	pfg108T	pfg222T	pfg038T	pfg375T	pfg132T	pfg258T	pfg062T	pfg043T	pfg115T	pfg416T	pfg205T	pfg228T	pfg099T	pfg282T	pfg182T	pfg102T	pfg068T	pfg032T	pfg164T	pfg052T	pfg317T	pfg031T	pfg146T	pfg059T	pfg125T	pfg054T	pfg082T	pfg167T	pfg106T	pfg064T	pfg220T	pfg181T	pfg138T	pfg094T	pfg217T	pfg022T	pfg053T	pfg073T	pfg124T	pfg424T	pfg030T	pfg166T	pfg039T	pfg065T	pfg180T	pfg311T	pfg156T	pfg144T	pfg116T	pfg100T	pfg127T	pfg119T	pfg120T	pfg104T	pfg088T	pfg036T	pfg008T	pfg130T	pfg157T	pfg107T	pfg081T	pfg076T	pfg160T	pfg089T	pfg277T	pfg316T	pfg272T	pfg035T	pfg105T	pfg118T	pfg135T	pfg069T	pfg060T	pfg142T	pfg122T	pfg173T	pfg213T	pfg212T	pfg373T	pfg378T	pfg151T	pfg034T	pfg413T	pfg145T	pfg136T	pfg344T	pfg057T	pfg097T	pfg005T	pfg121T	pfg050T	pfg129T	pfg058T	pfg092T
processes1	57.9824597342002	27.3169923636265	388.61336805121	5572.54905920774	781.143492858446	4685.94319084006	11106.3070564026	2614.03594383704	196.278631324561	83.7746766796364	3.33547434532086	1.09995478528318	4277.34049154258	29500.6688629135	391.078914578895	141.412596641042	1539.28550731217	40.2820728447807	3526.16258535053	12.7717467116792	3687.66308222037	66.5928196538616	185.259550742828	428.897509842706	440.20543606752	374.197905002934	309.202197120864	496.696009020723	12806.6873346794	20077.0479151922	2741.29121267666	6209.75045949962	0	559.034332717627	0	2435.29293559011	1403.38158213174	2865.23244789099	1.61124300795817	57.8962156057629	1533.63821148731	47.6459198143176	1.38519734198007	3602.14921980051	780.301751539265	60.8866969808195	4600.21292720635	7.41609142580744	68.4968389026363	16.0094669984642	10490.5579029128	1726.15929590235	52.3633398788684	1272.90121485323	4700.26555113181	4.7589273043717	126.496590902172	5419.94055246315	3278.6098104464	59.8243581280634	5.06817653644323	0.0732648592279087	8897.01647286814	3.08102941828234	1398.26265957912	1818.22998405221	905.846680647632	5953.38066151065	30522.7010422962	3647.50874249531	1228.7456557653	1193.59016400425	8962.36250553902	1553.47960412066	1961.20989011695	14.0401869889955	2531.97347238252	1203.17781179987	6180.91007960268	9.98004831777512	1740.26589423665	1.5145003505484	507.209644684165	363.55259581259	2427.33181754986	128.031891629567	20.7997997211228	914.569106492135	396.045858161854	309.791582205115	151.141940691074	2771.98198710203	3734.44142096659	434.088770728029	15.7946839665159	56.6183459399125	137.035756867568	107.669591990153	2498.95977331364	15942.4585584086
processes2	1526.31086888407	520.337949175385	7385.80950672823	1816.96099283639	3023.81872158561	468.546700563048	1033.94461370301	3983.68268894754	244.746295829266	1301.04287144582	680.74227503515	2415.09578634369	867.373418917063	879.65912095935	2477.70110275517	1156.89051943385	3670.67303443003	1462.63853596946	1361.86922266578	1658.55622803532	2489.678455276	207.476903689228	932.194251222845	543.765203460178	1612.208172292	454.282690099861	2325.26636761285	688.018663839887	1003.74647346116	2110.58688386439	1182.05690339003	1194.31614831839	1116.87159478295	1565.58996687366	1328.84415727364	1677.75037244538	1277.86906158969	1780.30820533229	524.617404213985	1836.79578371891	3210.90072955028	1893.78251057415	350.394011183539	2141.96059340548	1001.14763448356	675.742199620707	1615.59675728218	814.120691606355	1453.20668074057	666.590706383056	2620.4669156556	219.768960503966	932.82373047507	485.563492802674	1803.25562824247	1478.08120959203	4417.45942936773	1033.88007799758	142.731490846203	1035.7327441125	1138.06148419084	1477.8594617407	928.668102630892	3387.13175937027	1543.51361760069	1861.34080383556	2386.71594966138	1239.33092990761	1027.95935337267	84.9337460466864	751.360872209123	1469.6987205005	1877.42574129565	1754.83196305655	1076.3661709931	991.842252853488	1551.58301663974	3411.32312321454	1083.76279714596	151.598423617453	3165.33752397119	495.350797913679	1382.85907344522	9306.47489651839	1358.90980582256	1279.27472214905	1638.29022223298	322.851008392457	4904.19191490128	2217.2050495113	1148.48615204251	973.724014995587	202.35320910954	1828.31285513024	345.637741407868	1899.6437266294	469.450932108145	5391.92072880202	1452.07279014662	1051.17633737297
processes3	1617.33323510967	378.574807261073	6.76177612815943	3129.68768919826	2049.61842042931	5045.18563491281	7056.09074049561	6063.22106366074	8627.97398026695	1615.52331804057	704.339931262431	2285.82629629432	1926.92663447358	1241.91318061812	6592.44670169153	1630.75682792451	4265.0121274183	1879.8668029049	9250.22347062227	1115.4259363219	5541.70822745691	3333.46087961418	80.5537162830004	2997.89333102277	1372.12813234775	2222.86210112498	3889.20145773208	1452.34528282856	14685.8798689156	4737.76802175383	6248.80964582205	5462.5267195537	2895.69160846136	3621.89248569824	4033.64583766981	4063.14159975811	3625.20028589871	2603.68456308528	98.9400364338266	1823.67102098627	4878.00861783582	6807.72014991279	24453.1072260131	4189.99623325976	4256.1030073796	2394.24727255765	2782.01860318801	3294.03932437658	5020.70542993871	9742.88035689802	5039.75500640923	3361.16253747606	1218.07136838659	53.9769890791111	7769.33995424571	2104.00357552638	429.333480909403	3857.80974705204	6992.09967529747	2575.67921116402	6920.748381707	1601.49786098515	1688.9232395933	4686.8993501412	1562.68433691522	6535.55451565497	7449.86374940509	12817.9900436792	870.263069673651	8698.37186948313	5473.92041245246	2240.60314694472	3217.65292568538	3518.20624956491	3169.37079153459	2705.74057231189	3824.19587400157	6374.42463695906	3969.01345087778	898.595037580964	6712.03596475128	5593.9171311711	1939.37562169642	901.438623698703	3442.1974097724	3550.79610978684	920.302389866017	9904.15197320919	5360.23635032907	12431.7919590683	2329.74939464109	3001.37023867035	4436.74213625676	4768.10634432286	522.584085862499	4129.00514810419	1240.28381373176	0	4800.38254421769	1210.52462521309
processes4	1126.5808394873	51.2912606891974	30.3511127572432	513.724052713251	81.8339127786269	986.961749628287	2143.11461525497	1272.90558531376	2309.55537627894	505.194861540313	427.534152781816	1292.72418415339	368.164524438312	62.2143775899364	2703.17562744441	367.934103586071	1396.49238691928	506.121901629497	1467.43809541606	825.030741517793	244.667560816611	2481.33389340997	682.586399072178	1214.59751631867	325.488350363348	1146.34702832097	36.3137526082576	350.123699534678	0	595.507371565542	2114.59258929903	5703.22547649099	809.682787200324	768.756108579503	1614.79545596629	920.139729739856	249.870379009367	0	46.6106629336278	2.28836514545358	887.291832112493	117.214271472585	5123.96288525564	526.768303197405	2357.17375745241	834.109412642161	917.244310695072	382.138366598666	898.599846532707	4685.10069607362	1319.91856854192	2275.31349028239	66.8526483386038	21136.6173799442	5992.24628756534	836.020282777761	478.361853151097	2116.98950310267	10045.7785546748	704.530071220039	3611.71306910147	533.094634679189	176.61279740614	1176.41167370121	1094.2999193111	3971.95513909402	2992.19145470277	3360.74240679699	2689.05986502037	3920.45977459389	4257.79550704244	692.055193839718	0	634.47229514009	2757.88896393719	857.593079505612	560.459528158472	1683.40406089895	3337.20973152299	304.394500397154	835.869940558207	3513.23833929818	498.295667800083	9.76844873297583	269.153376410653	244.363408928763	173.955354393159	2595.20889267021	278.998431297284	788.400069206422	475.927051608673	1922.56277567092	292.625748031415	0	167.287359651003	1848.43890548743	365.125274253328	0	1399.20912465543	2768.30911022465
processes5	65.1373616464693	9.82239806834347	82.9454468679752	1892.00259970947	137.699009669992	2638.29647165741	5956.48847731884	897.969588665249	260.132297537425	97.1278072182498	56.6054073637121	251.207744145192	8397.89055258606	85809.7769081758	565.54806352507	11.5071960682537	636.855321877678	47.3639378409049	2144.22355803283	16.3643782211611	1075.31706061061	143.20056568262	453.457757954491	226.907541600793	46.7543613771094	346.196430548405	44.0438917922703	202.271577759352	413.372604379516	7118.5188294575	2173.2003182033	3961.54072463117	110.462718942589	195.341680275728	180.119862273001	593.110144746058	320.336242944189	107.23002239524	1.5217632675986	32.2219648047768	537.183149276174	64.4948323582147	598.328203744616	1419.3392690506	730.818645861164	58.7085567508873	1551.5434860758	39.049296195436	140.058596275822	67.738879476995	2889.91041972813	342.124740342772	11.5027024646567	1170.8183935268	1978.19200705004	89.050031351069	1574.85947608846	1503.65983267907	2493.43165705208	18.5873885798524	249.198505111267	39.581774241776	1472.68694434423	57.5615296306477	51.9546250597706	867.152264937698	632.247683392903	2941.83613434339	12750.6582839342	1482.73752147294	929.344865102081	230.261542113945	890.549552716043	240.70731260609	647.86719804928	223.791968458977	410.258908840224	686.293191346897	1617.98793962521	28.7920941757613	1157.20303494963	201.286108234786	153.663862538127	73.0564863586331	899.356353482878	65.6994806118589	23.630031100619	828.64784221378	272.411867127588	94.9005883459101	133.787516712006	892.41234592686	342.8038747878	93.3678799551409	16.8831713915929	143.645977559138	44.2492365215088	58.9317011307386	764.427454687891	4326.6403502784
processes6	316.577666202976	5.67661858843736	14507.8971980989	1410.74227463802	1862.81382215067	1491.86741047199	2018.11298317445	1520.59299295445	2298.43211439703	15.6009015729439	199.787904458252	448.530290516534	681.627199398716	2856.32017038515	1097.77462283319	4.97177833854219	936.416541515755	85.6369693901891	1832.19400912931	59.7199997431967	67.7308028181686	627.027432070567	34211.7265860461	511.79353709337	24.6299100079987	935.898313167256	116.192198548132	142.393102569216	1860.21504455833	2223.9973274238	2185.8158833088	1420.09416112781	719.49636935703	50.2881520887514	764.449955219149	547.385251217018	240.384860874306	64669.9979822505	19.7619014068315	87.506928507252	1240.43311144208	387.816355443273	2721.9036352906	251.860474988092	1578.12153176152	309.934157794349	641.800354358473	29.8003191241821	582.297474330322	1083.00350373153	2123.80684406086	273.18043771787	2.88219754216385	584.409324718748	3740.33471667902	756.325429855758	37683.892314347	1572.16381879944	3034.3865514872	277.582396837941	1108.0087100723	77.1706357765935	18154.3183094643	430.586485452502	337.521138100483	1522.22856311374	1198.84372278937	2525.02567070955	2046.63741373436	1192.13627565484	2034.40215451869	286.346179046209	49.4626759632371	209.817056752888	600.642037391932	687.977407328289	589.754098491834	1612.03701932963	1811.96826846455	97.9117453292564	16025.6004899912	1012.46333838836	479.402318686094	4119.68185219033	536.210023650477	1.82023487805949	48.6027582806622	2192.7205670934	156.76132550207	92.7465157415729	311.719016604848	646.921728022432	8796.03151080135	247.955250791307	172.536830745069	337.720836249975	22.5502884893805	1884.52240902935	769.375270499013	326.201562050837
processes7	315.441464822912	11.7923010627401	11404.4662475585	1.27673399572713	3337.93594104719	222.142267278446	284.132746595403	619.952674999759	658.92396295941	106.559557819988	33.665780552328	252.281921725086	26.9464130906969	45.659459141442	1147.29609641725	189.24771850056	613.665505140009	227.334591610218	1175.50015670336	233.744342045647	339.49592403825	377.766758115514	22543.2473581355	485.197572547857	39.9704282689712	196.530457630605	94.3597112784782	123.716690114825	1.94895710544057	187.94410555515	415.459432977693	1350.54715642776	356.206141305184	759.306330398405	427.645783943287	148.21516635438	52.3621836363978	25678.0522119223	11.3946660946302	5.24935560520053	138.728151475524	890.36097135814	3435.7651117451	106.775552967382	1044.26541045569	226.746556063784	107.066587107423	680.446243554799	800.14742024095	2325.84981240272	580.247922745183	565.133501283618	104.131080946222	44.7035857593089	904.909973090003	45.1494836173582	5968.9500975562	246.644932603974	1249.07101641275	180.524909734235	603.937509096701	23.5103438737493	7149.03078112155	538.165188839424	114.815129835773	521.384046174267	839.738891050393	812.761214752876	1573.93733844293	451.703711104259	27.4929462407362	592.919263608293	0	409.467821532912	485.754998458923	137.947331611415	0.314742252379141	2588.63869585443	70.7043176503692	114.430361567994	36373.5089547605	1226.68830767421	207.937429685811	8461.01329818885	553.178322450017	950.317208205682	25.8611007570246	1131.52767126309	462.06884487458	1032.27268779573	101.092617591393	880.492547179349	9884.6279676475	303.643301555974	25.2425448176969	608.687671541875	111.046722463131	11747.910145145	401.64990426304	262.785161553456
processes8	479.059054214482	46.2470688786122	2701.27782757155	2046.15062845483	2722.6526547627	2221.48561093945	4272.32422044717	418.243665931142	996.972187327649	192.107025394985	152.159530545802	858.114668714685	1502.56004138348	1064.2341471334	542.837899129101	203.88157433674	131.903246834325	415.232139854495	1494.63725710604	223.835236644779	1193.30270801723	631.905685961325	44959.5617925039	419.469791874798	332.844123209718	414.610241579957	189.397685767747	183.445951910023	4814.54587383496	1253.02757039812	1403.59298278284	491.365892210268	525.235897097936	583.421940097403	975.768297911819	604.622261720761	556.974997039606	6360.36460023158	58.4667577152201	343.587977203287	896.513667810485	135.435688407858	1540.53891593477	1237.44212153823	515.894406527797	219.210258012873	782.663871159085	372.044582229708	238.08270863267	1015.92820631216	922.664846544359	109.997158884217	51.9121454272113	775.607835189746	45.6083822149783	460.863216780919	9013.81601295691	557.445823153134	1157.80614127339	310.886394540727	864.475614694499	467.885360440636	13215.8754162311	752.494840428411	866.761453569793	957.897572017884	808.407016140785	3228.34926200763	18.8216030456103	151.42847539413	921.032761266476	65.3098987110306	3642.15113627856	793.084165257419	992.979522305249	261.465968711727	1537.01406748313	1936.80525481926	1319.11272299469	26.5872060815019	6179.0035077552	1125.3641896047	431.65445622514	440.366152691477	249.214476831497	623.976170092074	147.087807629954	645.430871941952	537.270583471225	223.089629621563	422.509990314004	194.624196595822	4525.45089926447	55.9072872840606	46.5747381460095	611.161869903755	142.053333475667	1302.71928673836	655.902065953992	916.739209089088
processes9	17.0451119708452	71.4095692873787	11987.4591958482	433.88589599839	3911.31236033461	631.91970105857	439.326322519976	585.012942563444	933.673304204147	12.3106620138762	279.030699893107	276.403654017034	1230.15485766968	803.419765468131	78.6149145995759	21.9506184766907	413.619135271869	121.697262633409	203.056912411405	55.4918912200689	244.489989106072	258.045361412526	17043.9419621226	260.989860272773	94.3102141062287	505.831851195219	71.322698487215	41.1688397826723	117.662794869617	782.304044883939	1643.49451898385	196.855629976671	394.419686398436	14.6748443098018	162.543848266466	69.5117389807632	83.1169759890682	20517.3489096664	49.4977514188035	20.6916459676583	962.857890875857	15.7957972329207	1660.42670427155	18.1035851618124	337.872525119296	447.154131694234	86.6451278622702	145.389053223858	8.7497673296107	0.0312775403774812	972.378402731327	822.630737525608	10.9530494791812	212.879852683991	1958.71561097523	296.586999167488	8359.42105670243	656.706279677662	2214.27307701591	5.60704394232954	203.506593786456	187.612064190525	64849.9741328317	0	102.021856728868	739.319294275263	454.487137573768	1348.41929245639	59.9954572024146	855.024273466864	1733.60922661711	402.007712763095	461.213738926621	3.45810481977145	120.547129287967	678.503570980395	163.355949698174	2.34447653550965	534.205403028278	83.9636700522725	14812.183966144	89.1349073868984	373.287051924953	5892.25695437641	91.4536327313064	22.2181325113258	27.2033446419019	2493.75703427999	3.67338142029839	254.134419243429	246.229319278794	439.110148565402	9493.43489531912	46.367512619251	162.676358705772	11.3719188204046	182.682096898145	4869.17752165891	629.886104971317	571.293543619243
